run,phase,iteration,case,latency_ms,status,route,compile_submissions,eager_fallback,max_abs_error
default-r1,serving,19,batch3_strided_late,0.06651,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,20,batch0_contiguous,0.0497,ok,compiled_cache,0,False,0.0
default-r1,serving,20,batch1_contiguous,0.063449,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,20,batch2_contiguous,0.066869,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,20,batch4_contiguous,0.06223,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,20,batch2_strided,0.066128,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,20,batch3_strided_late,0.075239,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,21,batch0_contiguous,0.047299,ok,compiled_cache,0,False,0.0
default-r1,serving,21,batch1_contiguous,0.058559,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,21,batch2_contiguous,0.060229,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,21,batch4_contiguous,0.090249,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,21,batch2_strided,0.07405,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,21,batch3_strided_late,0.066559,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,22,batch0_contiguous,0.05066,ok,compiled_cache,0,False,0.0
default-r1,serving,22,batch1_contiguous,0.118399,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,22,batch2_contiguous,0.073559,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,22,batch4_contiguous,0.06443,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,22,batch2_strided,0.07121,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,22,batch3_strided_late,0.069939,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,23,batch0_contiguous,0.046859,ok,compiled_cache,0,False,0.0
default-r1,serving,23,batch1_contiguous,0.059239,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,23,batch2_contiguous,0.064209,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,23,batch4_contiguous,0.0641,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,23,batch2_strided,0.071499,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,23,batch3_strided_late,0.083028,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,24,batch0_contiguous,0.052259,ok,compiled_cache,0,False,0.0
default-r1,serving,24,batch1_contiguous,0.060529,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,24,batch2_contiguous,0.06262,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,24,batch4_contiguous,0.076749,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,24,batch2_strided,0.068689,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,24,batch3_strided_late,0.067239,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,25,batch0_contiguous,0.04682,ok,compiled_cache,0,False,0.0
default-r1,serving,25,batch1_contiguous,0.072559,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,25,batch2_contiguous,0.069779,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,25,batch4_contiguous,0.061609,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,25,batch2_strided,0.067809,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,25,batch3_strided_late,0.077259,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,26,batch0_contiguous,0.055608,ok,compiled_cache,0,False,0.0
default-r1,serving,26,batch1_contiguous,0.063809,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,26,batch2_contiguous,0.06299,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,26,batch4_contiguous,0.064949,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,26,batch2_strided,0.06829,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,26,batch3_strided_late,0.072238,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,27,batch0_contiguous,0.056839,ok,compiled_cache,0,False,0.0
default-r1,serving,27,batch1_contiguous,0.062299,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,27,batch2_contiguous,0.064389,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,27,batch4_contiguous,0.066829,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,27,batch2_strided,0.076669,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,27,batch3_strided_late,0.069239,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,28,batch0_contiguous,0.04634,ok,compiled_cache,0,False,0.0
default-r1,serving,28,batch1_contiguous,0.059971,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,28,batch2_contiguous,0.076469,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,28,batch4_contiguous,0.07236,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,28,batch2_strided,0.065899,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,28,batch3_strided_late,0.064939,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,29,batch0_contiguous,0.052479,ok,compiled_cache,0,False,0.0
default-r1,serving,29,batch1_contiguous,0.070959,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,29,batch2_contiguous,0.066768,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,29,batch4_contiguous,0.06173,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,29,batch2_strided,0.067619,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,29,batch3_strided_late,0.073049,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,30,batch0_contiguous,0.048039,ok,compiled_cache,0,False,0.0
default-r1,serving,30,batch1_contiguous,0.060008,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,30,batch2_contiguous,0.06399,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,30,batch4_contiguous,0.066879,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,30,batch2_strided,0.066209,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,30,batch3_strided_late,0.06409,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,31,batch0_contiguous,0.050169,ok,compiled_cache,0,False,0.0
default-r1,serving,31,batch1_contiguous,0.061968,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,31,batch2_contiguous,0.065319,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,31,batch4_contiguous,0.059799,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,31,batch2_strided,0.067249,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,31,batch3_strided_late,0.068219,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,32,batch0_contiguous,0.050319,ok,compiled_cache,0,False,0.0
default-r1,serving,32,batch1_contiguous,0.063099,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,32,batch2_contiguous,0.106899,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,32,batch4_contiguous,0.065919,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,32,batch2_strided,0.065499,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,32,batch3_strided_late,0.072669,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,33,batch0_contiguous,0.050299,ok,compiled_cache,0,False,0.0
default-r1,serving,33,batch1_contiguous,0.060689,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,33,batch2_contiguous,0.06236,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,33,batch4_contiguous,0.062559,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,33,batch2_strided,0.075669,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,33,batch3_strided_late,0.065819,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,34,batch0_contiguous,0.048269,ok,compiled_cache,0,False,0.0
default-r1,serving,34,batch1_contiguous,0.064129,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,34,batch2_contiguous,0.069279,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,34,batch4_contiguous,0.066728,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,34,batch2_strided,0.065989,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,34,batch3_strided_late,0.074589,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,35,batch0_contiguous,0.04663,ok,compiled_cache,0,False,0.0
default-r1,serving,35,batch1_contiguous,0.0639,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,35,batch2_contiguous,0.061148,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,35,batch4_contiguous,0.063608,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,35,batch2_strided,0.066979,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,35,batch3_strided_late,0.069339,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,36,batch0_contiguous,0.05918,ok,compiled_cache,0,False,0.0
default-r1,serving,36,batch1_contiguous,0.061649,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,36,batch2_contiguous,0.067359,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,36,batch4_contiguous,0.061389,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,36,batch2_strided,0.080599,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,36,batch3_strided_late,0.068959,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,37,batch0_contiguous,0.045929,ok,compiled_cache,0,False,0.0
